対象	学名	和名	科目	ID	Scientific Name	Common Name	Family Name	ID	PO:food part	EnvO	Foodon	URL_en	URL_ja	Genome	Assembly	Assembly2	Assembly3
	*Actinidia chinensis*	キウイフルーツ	マタタビ科	t3625	*Actinidia chinensis*	Kiwifruit	Actinidiaceae	t3625				https://plantgarden.jp/en/list/t3625	https://plantgarden.jp/ja/list/t3625	https://plantgarden.jp/en/list/t3625/genome	https://plantgarden.jp/en/list/t3625/genome/t3625.G001		
	*Aegilops tauschii*	タルホコムギ	イネ科	t37682	*Aegilops tauschii*	Tausch's goatgrass	Poaceae	t37682				https://plantgarden.jp/en/list/t37682	https://plantgarden.jp/ja/list/t37682	https://plantgarden.jp/en/list/t37682/genome	https://plantgarden.jp/en/list/t37682/genome/t37682.G001		
	*Ananas comosus*	パイナップル	パイナップル科	t4615	*Ananas comosus*	Pineapple	Bromeliaceae	t4615				https://plantgarden.jp/en/list/t4615	https://plantgarden.jp/ja/list/t4615	https://plantgarden.jp/en/list/t4615/genome	https://plantgarden.jp/en/list/t4615/genome/t4615.G001		
	*Arabidopsis thaliana*	シロイヌナズナ	アブラナ科	t3702	*Arabidopsis thaliana*		Brassicaceae	t3702				https://plantgarden.jp/en/list/t3702	https://plantgarden.jp/ja/list/t3702	https://plantgarden.jp/en/list/t3702/genome	https://plantgarden.jp/en/list/t3702/genome/t3702.G001		
	*Arabis alpina*	ヤマハタザオ	マメ科	t50452	*Arabis alpina*	Alpine rock cress	Fabaceae	t50452				https://plantgarden.jp/en/list/t50452	https://plantgarden.jp/ja/list/t50452	https://plantgarden.jp/en/list/t50452/genome	https://plantgarden.jp/en/list/t50452/genome/t50452.G001		
	*Arachis duranensis*	アラキスデュラネンシス	マメ科	t130453	*Arachis duranensis*	Arachis duranensis	Fabaceae	t130453				https://plantgarden.jp/en/list/t130453	https://plantgarden.jp/ja/list/t130453	https://plantgarden.jp/en/list/t130453/genome	https://plantgarden.jp/en/list/t130453/genome/t130453.G001		
	*Arachis hypogaea*	ラッカセイ	マメ科	t3818	*Arachis hypogaea*	Peanut	Fabaceae	t3818				https://plantgarden.jp/en/list/t3818	https://plantgarden.jp/ja/list/t3818	https://plantgarden.jp/en/list/t3818/genome	https://plantgarden.jp/en/list/t3818/genome/t3818.G001		
	*Arachis ipaensis*	アラキスイパエンシス	マメ科	t130454	*Arachis ipaensis*	Arachis ipaensis	Fabaceae	t130454				https://plantgarden.jp/en/list/t130454	https://plantgarden.jp/ja/list/t130454	https://plantgarden.jp/en/list/t130454/genome	https://plantgarden.jp/en/list/t130454/genome/t130454.G001		
	*Beta vulgaris*	ビート	ヒユ科	t161934	*Beta vulgaris*	Beet	Amaranthaceae	t161934				https://plantgarden.jp/en/list/t161934	https://plantgarden.jp/ja/list/t161934	https://plantgarden.jp/en/list/t161934/genome	https://plantgarden.jp/en/list/t161934/genome/t161934.G001		
	*Brachypodium distachyon*	ミナトカモジグサ	イネ科	t15368	*Brachypodium distachyon*	Stiff brome	Poaceae	t15368				https://plantgarden.jp/en/list/t15368	https://plantgarden.jp/ja/list/t15368	https://plantgarden.jp/en/list/t15368/genome	https://plantgarden.jp/en/list/t15368/genome/t15368.G001		
	*Brassica napus*	セイヨウアブラナ	アブラナ科	t3708	*Brassica napus*	Rapeseed	Brassicaceae	t3708				https://plantgarden.jp/en/list/t3708	https://plantgarden.jp/ja/list/t3708	https://plantgarden.jp/en/list/t3708/genome	https://plantgarden.jp/en/list/t3708/genome/t3708.G001		
	*Brassica oleracea*	ヤセイカンラン	アブラナ科	t3712	*Brassica oleracea*		Brassicaceae	t3712				https://plantgarden.jp/en/list/t3712	https://plantgarden.jp/ja/list/t3712	https://plantgarden.jp/en/list/t3712/genome	https://plantgarden.jp/en/list/t3712/genome/t3712.G001		
	*Brassica oleracea* var. *capitata*	キャベツ	アブラナ科	t3712	*Brassica oleracea* var. *capitata*		Brassicaceae	t3712				https://plantgarden.jp/en/list/t3712	https://plantgarden.jp/ja/list/t3712	https://plantgarden.jp/en/list/t3712/genome	https://plantgarden.jp/en/list/t3712/genome/t3712.G001		
	*Brassica oleracea* var. *italica*	ブロッコリー	アブラナ科	t3712	*Brassica oleracea* var. *italica*		Brassicaceae	t3712				https://plantgarden.jp/en/list/t3712	https://plantgarden.jp/ja/list/t3712	https://plantgarden.jp/en/list/t3712/genome	https://plantgarden.jp/en/list/t3712/genome/t3712.G001		
	*Brassica oleracea* var. *sabauda*	チリメンキャベツ	アブラナ科	t3712	*Brassica oleracea* var. *sabauda*		Brassicaceae	t3712				https://plantgarden.jp/en/list/t3712	https://plantgarden.jp/ja/list/t3712	https://plantgarden.jp/en/list/t3712/genome	https://plantgarden.jp/en/list/t3712/genome/t3712.G001		
	*Brassica oleracea* var. *viridis*	ケール	アブラナ科	t3712	*Brassica oleracea* var. *viridis*	Kale	Brassicaceae	t3712				https://plantgarden.jp/en/list/t3712	https://plantgarden.jp/ja/list/t3712	https://plantgarden.jp/en/list/t3712/genome	https://plantgarden.jp/en/list/t3712/genome/t3712.G001		
	*Brassica rapa*	ブラシカラパ	アブラナ科	t3711	*Brassica rapa*		Brassicaceae	t3711				https://plantgarden.jp/en/list/t3711	https://plantgarden.jp/ja/list/t3711	https://plantgarden.jp/en/list/t3711/genome	https://plantgarden.jp/en/list/t3711/genome/t3711.G001		
	*Brassica rapa* subsp. *campestris*	アブラナ(campestris)	アブラナ科	t3711	*Brassica rapa* subsp. *campestris*		Brassicaceae	t3711				https://plantgarden.jp/en/list/t3711	https://plantgarden.jp/ja/list/t3711	https://plantgarden.jp/en/list/t3711/genome	https://plantgarden.jp/en/list/t3711/genome/t3711.G001		
	*Brassica rapa* subsp. *chinensis*	チンゲンサイ	アブラナ科	t3711	*Brassica rapa* subsp. *chinensis*		Brassicaceae	t3711				https://plantgarden.jp/en/list/t3711	https://plantgarden.jp/ja/list/t3711	https://plantgarden.jp/en/list/t3711/genome	https://plantgarden.jp/en/list/t3711/genome/t3711.G001		
	*Brassica rapa* subsp. *oleifera*	アブラナ(oleifera)	アブラナ科	t3711	*Brassica rapa* subsp. *oleifera*		Brassicaceae	t3711				https://plantgarden.jp/en/list/t3711	https://plantgarden.jp/ja/list/t3711	https://plantgarden.jp/en/list/t3711/genome	https://plantgarden.jp/en/list/t3711/genome/t3711.G001		
1	*Brassica rapa* subsp. *pekinensis*	ハクサイ	アブラナ科	t3711	*Brassica rapa* subsp. *pekinensis*	Chinese cabbage	Brassicaceae	t3711	http://purl.obolibrary.org/obo/PO_0025034	http://purl.obolibrary.org/obo/ENVO_00001998	http://purl.obolibrary.org/obo/FOODON_03411051	https://plantgarden.jp/en/list/t3711	https://plantgarden.jp/ja/list/t3711	https://plantgarden.jp/en/list/t3711/genome	https://plantgarden.jp/en/list/t3711/genome/t3711.G001		
	*Brassica rapa* var. *purpurea*	コウサイタイ	アブラナ科	t3711	*Brassica rapa* var. *purpurea*		Brassicaceae	t3711				https://plantgarden.jp/en/list/t3711	https://plantgarden.jp/ja/list/t3711	https://plantgarden.jp/en/list/t3711/genome	https://plantgarden.jp/en/list/t3711/genome/t3711.G001		
	*Brassica rapa* subsp. *rapa*	カブ	アブラナ科	t3711	*Brassica rapa* subsp. *rapa*		Brassicaceae	t3711				https://plantgarden.jp/en/list/t3711	https://plantgarden.jp/ja/list/t3711	https://plantgarden.jp/en/list/t3711/genome	https://plantgarden.jp/en/list/t3711/genome/t3711.G001		
	*Brassica rapa* subsp. *trilocularis*	イエローサルソン	アブラナ科	t3711	*Brassica rapa* subsp. *trilocularis*		Brassicaceae	t3711				https://plantgarden.jp/en/list/t3711	https://plantgarden.jp/ja/list/t3711	https://plantgarden.jp/en/list/t3711/genome	https://plantgarden.jp/en/list/t3711/genome/t3711.G001		
	*Cajanus cajan*	キマメ	マメ科	t3821	*Cajanus cajan*	Pigeon pea	Fabaceae	t3821				https://plantgarden.jp/en/list/t3821	https://plantgarden.jp/ja/list/t3821	https://plantgarden.jp/en/list/t3821/genome	https://plantgarden.jp/en/list/t3821/genome/t3821.G001		
	*Capsicum annuum*	トウガラシ	ナス科	t4072	*Capsicum annuum*	Chilli pepper	Solanaceae	t4072				https://plantgarden.jp/en/list/t4072	https://plantgarden.jp/ja/list/t4072	https://plantgarden.jp/en/list/t4072/genome	https://plantgarden.jp/en/list/t4072/genome/t4072.G001		
	*Capsicum annuum* var. *annuum*	トウガラシ	ナス科	t4072	*Capsicum annuum* var. *annuum*	Chilli pepper (annuum)	Solanaceae	t4072				https://plantgarden.jp/en/list/t4072	https://plantgarden.jp/ja/list/t4072	https://plantgarden.jp/en/list/t4072/genome	https://plantgarden.jp/en/list/t4072/genome/t4072.G001		
	*Capsicum annuum* var. *glabriusculum*	テピン	ナス科	t4072	*Capsicum annuum* var. *glabriusculum*	Chilli pepper (glabriusculum)	Solanaceae	t4072				https://plantgarden.jp/en/list/t4072	https://plantgarden.jp/ja/list/t4072	https://plantgarden.jp/en/list/t4072/genome	https://plantgarden.jp/en/list/t4072/genome/t4072.G001		
	*Chlamydomonas reinhardtii*	コナミドリムシ	クラミドモナス科	t3055	*Chlamydomonas reinhardtii*	Chlamydomonas	Chlamydomonadaceae	t3055				https://plantgarden.jp/en/list/t3055	https://plantgarden.jp/ja/list/t3055	https://plantgarden.jp/en/list/t3055/genome	https://plantgarden.jp/en/list/t3055/genome/t3055.G001		
	*Chromochloris zofingiensis*	クロレラ	クロモクロライド科	t31302	*Chromochloris zofingiensis*	Chlorella	Chromochloridaceae	t31302				https://plantgarden.jp/en/list/t31302	https://plantgarden.jp/ja/list/t31302	https://plantgarden.jp/en/list/t31302/genome	https://plantgarden.jp/en/list/t31302/genome/t31302.G001		
	*Chrysanthemum seticuspe*	キクタニギク	キク科	t1111766	*Chrysanthemum seticuspe*	Chrysanthemum	Asteraceae	t1111766				https://plantgarden.jp/en/list/t1111766	https://plantgarden.jp/ja/list/t1111766	https://plantgarden.jp/en/list/t1111766/genome	https://plantgarden.jp/en/list/t1111766/genome/t1111766.G001		
	*Cicer arietinum*	ヒヨコマメ	マメ科	t3827	*Cicer arietinum*	Chickpea	Fabaceae	t3827				https://plantgarden.jp/en/list/t3827	https://plantgarden.jp/ja/list/t3827	https://plantgarden.jp/en/list/t3827/genome	https://plantgarden.jp/en/list/t3827/genome/t3827.G001		
	*Citrullus lanatus*	スイカ	ウリ科	t3654	*Citrullus lanatus*	Woter melon	Cucurbitaceae	t3654				https://plantgarden.jp/en/list/t3654	https://plantgarden.jp/ja/list/t3654	https://plantgarden.jp/en/list/t3654/genome	https://plantgarden.jp/en/list/t3654/genome/t3654.G001		
	*Citrullus lanatus* subsp. *vulgaris*	スイカ(vulgaris)	ウリ科	t3654	*Citrullus lanatus* subsp. *vulgaris*		Cucurbitaceae	t3654				https://plantgarden.jp/en/list/t3654	https://plantgarden.jp/ja/list/t3654	https://plantgarden.jp/en/list/t3654/genome	https://plantgarden.jp/en/list/t3654/genome/t3654.G001		
	*Citrus maxima*	ブンタン	ミカン科	t37334	*Citrus maxima*	Pomelo	Rutaceae	t37334				https://plantgarden.jp/en/list/t37334	https://plantgarden.jp/ja/list/t37334	https://plantgarden.jp/en/list/t37334/genome	https://plantgarden.jp/en/list/t37334/genome/t37334.G001		
	*Citrus sinensis*	オレンジ	ミカン科	t2711	*Citrus sinensis*	Orange	Rutaceae	t2711				https://plantgarden.jp/en/list/t2711	https://plantgarden.jp/ja/list/t2711	https://plantgarden.jp/en/list/t2711/genome	https://plantgarden.jp/en/list/t2711/genome/t2711.G001		
	*Coffea canephora*	ロブスタコーヒーノキ	アカネ科	t49390	*Coffea canephora*	Robusta coffee	Rubiaceae	t49390				https://plantgarden.jp/en/list/t49390	https://plantgarden.jp/ja/list/t49390	https://plantgarden.jp/en/list/t49390/genome	https://plantgarden.jp/en/list/t49390/genome/t49390.G001		
	*Cucumis melo*	メロン	ウリ科	t3656	*Cucumis melo*	Melon	Cucurbitaceae	t3656				https://plantgarden.jp/en/list/t3656	https://plantgarden.jp/ja/list/t3656	https://plantgarden.jp/en/list/t3656/genome	https://plantgarden.jp/en/list/t3656/genome/t3656.G001		
	*Cucumis melo* subsp. *agrestis*	ザッソウメロン	ウリ科	t3656	*Cucumis melo* subsp. *agrestis*		Cucurbitaceae	t3656				https://plantgarden.jp/en/list/t3656	https://plantgarden.jp/ja/list/t3656	https://plantgarden.jp/en/list/t3656/genome	https://plantgarden.jp/en/list/t3656/genome/t3656.G001		
	*Cucumis melo* subsp. *melo*	メロン	ウリ科	t3656	*Cucumis melo* subsp. *melo*		Cucurbitaceae	t3656				https://plantgarden.jp/en/list/t3656	https://plantgarden.jp/ja/list/t3656	https://plantgarden.jp/en/list/t3656/genome	https://plantgarden.jp/en/list/t3656/genome/t3656.G001		
	*Cucumis sativus*	キュウリ	ウリ科	t3659	*Cucumis sativus*	Cucumber	Cucurbitaceae	t3659				https://plantgarden.jp/en/list/t3659	https://plantgarden.jp/ja/list/t3659	https://plantgarden.jp/en/list/t3659/genome	https://plantgarden.jp/en/list/t3659/genome/t3659.G001		
	*Cucumis sativus* var. *hardwickii*	キュウリ(hardwickii)	ウリ科	t3659	*Cucumis sativus* var. *hardwickii*		Cucurbitaceae	t3659				https://plantgarden.jp/en/list/t3659	https://plantgarden.jp/ja/list/t3659	https://plantgarden.jp/en/list/t3659/genome	https://plantgarden.jp/en/list/t3659/genome/t3659.G001		
	*Cucumis sativus* var. *sativus*	キュウリ	ウリ科	t3659	*Cucumis sativus* var. *sativus*	Cucumber	Cucurbitaceae	t3659				https://plantgarden.jp/en/list/t3659	https://plantgarden.jp/ja/list/t3659	https://plantgarden.jp/en/list/t3659/genome	https://plantgarden.jp/en/list/t3659/genome/t3659.G001		
	*Cucumis sativus* var. *xishuangbannanesis*	キュウリ(xishuangbannanesis)	ウリ科	t3659	*Cucumis sativus* var. *xishuangbannanesis*		Cucurbitaceae	t3659				https://plantgarden.jp/en/list/t3659	https://plantgarden.jp/ja/list/t3659	https://plantgarden.jp/en/list/t3659/genome	https://plantgarden.jp/en/list/t3659/genome/t3659.G001		
	*Cucurbita maxima*	セイヨウカボチャ	ウリ科	t3661	*Cucurbita maxima*	Winter squash	Cucurbitaceae	t3661				https://plantgarden.jp/en/list/t3661	https://plantgarden.jp/ja/list/t3661	https://plantgarden.jp/en/list/t3661/genome	https://plantgarden.jp/en/list/t3661/genome/t3661.G001		
	*Cucurbita moschata*	ニホンカボチャ	ウリ科	t3662	*Cucurbita moschata*	Crookneck pumpkin	Cucurbitaceae	t3662				https://plantgarden.jp/en/list/t3662	https://plantgarden.jp/ja/list/t3662	https://plantgarden.jp/en/list/t3662/genome	https://plantgarden.jp/en/list/t3662/genome/t3662.G001		
	*Cucurbita pepo*	ズッキーニ	ウリ科	t3663	*Cucurbita pepo*	Zucchini	Cucurbitaceae	t3663				https://plantgarden.jp/en/list/t3663	https://plantgarden.jp/ja/list/t3663	https://plantgarden.jp/en/list/t3663/genome	https://plantgarden.jp/en/list/t3663/genome/t3663.G001		
	*Cyanidioschyzon merolae*	シゾン	イデユコゴメ科	t45157	*Cyanidioschyzon merolae*	Chyzon	Cyanidiaceae	t45157				https://plantgarden.jp/en/list/t45157	https://plantgarden.jp/ja/list/t45157	https://plantgarden.jp/en/list/t45157/genome	https://plantgarden.jp/en/list/t45157/genome/t45157.G001		
	*Cynara cardunculus*	カルドン	キク科	t4265	*Cynara cardunculus*	Cardoon	Asteraceae	t4265				https://plantgarden.jp/en/list/t4265	https://plantgarden.jp/ja/list/t4265	https://plantgarden.jp/en/list/t4265/genome	https://plantgarden.jp/en/list/t4265/genome/t4265.G001		
	*Daucus carota*	ニンジン	セリ科	t4039	*Daucus carota*	Carrot	Apiaceae	t4039				https://plantgarden.jp/en/list/t4039	https://plantgarden.jp/ja/list/t4039	https://plantgarden.jp/en/list/t4039/genome	https://plantgarden.jp/en/list/t4039/genome/t4039.G001		
	*Dioscorea rotundata*	シロヤムイモ	ヤマノイモ科	t55577	*Dioscorea rotundata*	White yam	Dioscoreaceae	t55577				https://plantgarden.jp/en/list/t55577	https://plantgarden.jp/ja/list/t55577	https://plantgarden.jp/en/list/t55577/genome	https://plantgarden.jp/en/list/t55577/genome/t55577.G001		
	*Fagopyrum tataricum*	ダッタンソバ	タデ科	t62330	*Fagopyrum tataricum*	Tartary buckwheat	Polygonaceae	t62330				https://plantgarden.jp/en/list/t62330	https://plantgarden.jp/ja/list/t62330	https://plantgarden.jp/en/list/t62330/genome	https://plantgarden.jp/en/list/t62330/genome/t62330.G001		
	*Ficus carica*	イチジク	クワ科	t3494	*Ficus carica*	Common fig	Moraceae	t3494				https://plantgarden.jp/en/list/t3494	https://plantgarden.jp/ja/list/t3494	https://plantgarden.jp/en/list/t3494/genome	https://plantgarden.jp/en/list/t3494/genome/t3494.G001		
	*Ficus erecta*	イヌビワ	クワ科	t66383	*Ficus erecta*	Japanese fig	Moraceae	t66383				https://plantgarden.jp/en/list/t66383	https://plantgarden.jp/ja/list/t66383	https://plantgarden.jp/en/list/t66383/genome	https://plantgarden.jp/en/list/t66383/genome/t66383.G001		
