ID	Length(aa)	Type	Gene Structure
Cla017476	332	NBS>CN	.
Cla015257	1036	NBS>CNL	.
Cla019844	1408	NBS>CNL	.
Cla002280	1309	NBS>CNL	.
Cla019831	814	NBS>CNL	.
Cla012433	817	NBS>CNL	.
Cla021858	1148	NBS>CNL	.
Cla002282	992	NBS>CNL	.
Cla000024	402	NBS>CNL	.
Cla010833	1078	NBS>CNL	.
Cla002924	1070	NBS>CNL	.
Cla015258	1147	NBS>CNL	.
Cla006820	980	NBS>CNL	.
Cla010826	201	NBS>NBS	.
Cla003652	288	NBS>NBS	.
Cla002913	463	NBS>NBS	.
Cla015218	467	NBS>NBS	.
Cla006813	550	NBS>NBS	.
Cla017475	863	NBS>NL	.
Cla006803	1075	NBS>NL	.
Cla001168	349	NBS>NL	.
Cla017478	543	NBS>NL	.
Cla011937	574	NBS>NL	.
Cla010834	1086	NBS>NL	.
Cla007904	1353	NBS>NL	.
Cla020705	821	NBS>NL	.
Cla001017	1092	NBS>NL	.
Cla001821	815	NBS>NL	.
Cla012425	432	NBS>OTHER	.
Cla012428	1450	NBS>OTHER	.
Cla019856	943	NBS>OTHER	.
Cla012430	425	NBS>TN	.
Cla004428	982	NBS>TN	.
Cla012424	458	NBS>TN	.
Cla019855	941	NBS>TNL	.
Cla019863	1195	NBS>TNL	.
Cla012427	1013	NBS>TNL	.
Cla012439	822	NBS>TNL	.
Cla019857	1011	NBS>TNL	.
Cla019854	888	NBS>TNL	.
Cla012431	1525	NBS>TNL	.
Cla016986	1133	NBS>TNL	.
Cla007937	1155	NBS>TNL	.
Cla012434	1140	NBS>TNL	.
Cla019476	193	NBS>TX	.
Cla011771	167	NBS>TX	.
Cla012432	181	NBS>TX	.
Cla011433	999	NBS>TX	.
Cla000075	818	RLK	.
Cla000464	403	RLK	.
Cla000517	744	RLK	.
Cla000704	501	RLK	.
Cla000737	644	RLK	.
Cla000810	621	RLK	.
Cla000815	654	RLK	.
Cla000816	594	RLK	.
Cla000912	889	RLK	.
Cla000913	872	RLK	.
Cla000914	840	RLK	.
Cla001014	664	RLK	.
Cla001108	632	RLK	.
Cla001163	847	RLK	.
Cla001254	984	RLK	.
Cla001319	619	RLK	.
Cla001320	399	RLK	.
Cla001321	652	RLK	.
Cla001334	859	RLK	.
Cla001369	752	RLK	.
Cla001481	389	RLK	.
Cla001722	423	RLK	.
Cla001745	1017	RLK	.
Cla001794	696	RLK	.
Cla001836	956	RLK	.
Cla002252	398	RLK	.
Cla002266	684	RLK	.
Cla002438	1006	RLK	.
Cla002534	552	RLK	.
Cla002608	773	RLK	.
Cla002649	1261	RLK	.
Cla002774	859	RLK	.
Cla002938	1140	RLK	.
Cla003050	907	RLK	.
Cla003294	589	RLK	.
Cla003335	1073	RLK	.
Cla003448	1080	RLK	.
Cla003571	679	RLK	.
Cla003590	952	RLK	.
Cla003624	323	RLK	.
Cla003671	152	RLK	.
Cla003893	717	RLK	.
Cla004214	867	RLK	.
Cla004221	632	RLK	.
Cla004292	1056	RLK	.
Cla004348	795	RLK	.
Cla004476	671	RLK	.
Cla004599	695	RLK	.
Cla004800	786	RLK	.
Cla004801	815	RLK	.
Cla004916	654	RLK	.
Cla005252	427	RLK	.
Cla005257	654	RLK	.
Cla005313	518	RLK	.
Cla005502	1034	RLK	.
Cla005514	509	RLK	.
Cla005542	1004	RLK	.
Cla005688	681	RLK	.
Cla005698	980	RLK	.
Cla005702	1008	RLK	.
Cla005718	558	RLK	.
Cla005732	692	RLK	.
Cla005802	821	RLK	.
Cla005804	797	RLK	.
Cla005807	949	RLK	.
Cla005820	1135	RLK	.
Cla005883	623	RLK	.
Cla005929	1043	RLK	.
Cla005930	379	RLK	.
Cla005933	662	RLK	.
Cla005944	1024	RLK	.
Cla006148	347	RLK	.
Cla006152	805	RLK	.
Cla006195	1304	RLK	.
Cla006232	686	RLK	.
Cla006279	950	RLK	.
Cla006280	966	RLK	.
Cla006384	399	RLK	.
Cla006516	684	RLK	.
Cla006519	769	RLK	.
Cla006549	625	RLK	.
Cla006586	691	RLK	.
Cla006587	1040	RLK	.
Cla006588	741	RLK	.
Cla006651	930	RLK	.
Cla006736	626	RLK	.
Cla006751	849	RLK	.
Cla006764	747	RLK	.
Cla006947	652	RLK	.
Cla007076	865	RLK	.
Cla007229	631	RLK	.
Cla007254	849	RLK	.
Cla007298	915	RLK	.
Cla007393	810	RLK	.
Cla007455	991	RLK	.
Cla007647	1103	RLK	.
Cla007709	1031	RLK	.
Cla007714	830	RLK	.
Cla007733	720	RLK	.
Cla007849	595	RLK	.
Cla007860	820	RLK	.
Cla007951	707	RLK	.
Cla008077	887	RLK	.
Cla008091	618	RLK	.
Cla008161	752	RLK	.
Cla008337	601	RLK	.
Cla008470	1786	RLK	.
Cla008479	1199	RLK	.
Cla008512	611	RLK	.
Cla008521	1518	RLK	.
Cla008522	826	RLK	.
Cla008523	721	RLK	.
Cla008524	807	RLK	.
Cla008583	535	RLK	.
Cla009143	634	RLK	.
Cla009147	952	RLK	.
Cla009209	480	RLK	.
Cla009454	1007	RLK	.
Cla009646	1001	RLK	.
Cla009647	340	RLK	.
Cla009700	467	RLK	.
Cla009702	616	RLK	.
Cla009754	1156	RLK	.
Cla009793	452	RLK	.
Cla009833	848	RLK	.
Cla009911	656	RLK	.
Cla009980	615	RLK	.
Cla009998	922	RLK	.
Cla010068	650	RLK	.
Cla010084	722	RLK	.
Cla010139	629	RLK	.
Cla010159	547	RLK	.
Cla010165	726	RLK	.
Cla010359	608	RLK	.
Cla010389	624	RLK	.
Cla010678	586	RLK	.
Cla010719	356	RLK	.
Cla010731	1027	RLK	.
Cla010786	1142	RLK	.
Cla010821	876	RLK	.
Cla010822	903	RLK	.
Cla010823	880	RLK	.
Cla010837	998	RLK	.
Cla010844	888	RLK	.
Cla010908	394	RLK	.
Cla010937	668	RLK	.
Cla010941	657	RLK	.
Cla011038	974	RLK	.
Cla011070	1011	RLK	.
Cla011207	1117	RLK	.
Cla011260	998	RLK	.
Cla011323	648	RLK	.
Cla011391	629	RLK	.
Cla011463	616	RLK	.
Cla011733	772	RLK	.
Cla011803	991	RLK	.
Cla011861	631	RLK	.
